<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
,Science,Overall
gemma-3-27b,36.6120218579235,36.6120218579235
gemma-3-4b-it,100.0,100.0
o4-mini-2025-04-16,32.78688524590164,32.78688524590164
qwen-3-32b,99.4535519125683,99.4535519125683
fw-deepseek-r1-0528,88.52459016393442,88.52459016393442
gemini-2.5-pro-preview-06-05,0.0,0.0
gpt-5-2025-08-07-medium,0.0,0.0
claude-sonnet-4-5-20250929,97.26775956284153,97.26775956284153
gemini-2.5-flash-preview-09-2025,0.0,0.0
=======
,Science,Overall
gemma-3-27b,0.0,0.0
gemma-3-4b-it,0.0,0.0
o4-mini-2025-04-16,0.546448087431694,0.546448087431694
qwen-3-32b,1.092896174863388,1.092896174863388
fw-deepseek-r1-0528,0.0,0.0
gemini-2.5-pro-preview-06-05,0.0,0.0
gpt-5-2025-08-07-medium,0.0,0.0
claude-sonnet-4-5-20250929,0.546448087431694,0.546448087431694
gemini-2.5-flash-preview-09-2025,0.546448087431694,0.546448087431694
>>>>>>> nyankore_ep
gemini-2.5-flash-lite-preview-09-2025,0.0,0.0
gemini-3-pro-preview,0.0,0.0
gpt-5.2-2025-12-11-medium,0.0,0.0
gemini-3-flash-preview,0.0,0.0
<<<<<<< HEAD
=======
,Science,Literacy,Creative arts,Maths,Social studies,Technology,General,Overall
gemma-3-27b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma-3-4b-it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o4-mini-2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-3-32b,2.7027027027027026,0.0,0.0,2.5,0.0,0.0,0.0,0.851063829787234
fw-deepseek-r1-0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-sonnet-4-5-20250929,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.425531914893617
gemini-2.5-flash-lite-preview-09-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3-pro-preview,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.425531914893617
gpt-5.2-2025-12-11-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3-flash-preview,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
>>>>>>> luganda_ep
=======
,Science,Overall
gemma-3-27b,79.78142076502732,79.78142076502732
gemma-3-4b-it,100.0,100.0
o4-mini-2025-04-16,44.80874316939891,44.80874316939891
qwen-3-32b,98.90710382513662,98.90710382513662
fw-deepseek-r1-0528,54.09836065573771,54.09836065573771
gemini-2.5-pro-preview-06-05,26.229508196721312,26.229508196721312
gpt-5-2025-08-07-medium,0.0,0.0
claude-sonnet-4-5-20250929,99.4535519125683,99.4535519125683
gemini-2.5-flash-preview-09-2025,0.0,0.0
gemini-2.5-flash-lite-preview-09-2025,13.114754098360656,13.114754098360656
gemini-3-pro-preview,0.0,0.0
gpt-5.2-2025-12-11-medium,0.0,0.0
gemini-3-flash-preview,0.0,0.0
>>>>>>> nyankore
=======
>>>>>>> nyankore_ep
