,Science,Literacy,Creative arts,Maths,Social studies,Technology,General,Overall
gemma-3-27b,2.73224043715847,0.0,0.0,4.761904761904762,0.0,0.0,0.0,1.2235817575083427
gemma-3-4b-it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o4-mini-2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-3-32b,0.546448087431694,5.960264900662252,0.0,2.380952380952381,1.8181818181818181,0.0,1.3157894736842104,1.7797552836484982
fw-deepseek-r1-0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-sonnet-4-5-20250929,0.0,0.0,0.0,0.7936507936507936,0.0,0.0,0.0,0.11123470522803114
gemini-2.5-flash-preview-09-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-2.5-flash-lite-preview-09-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3-pro-preview,0.0,0.0,0.6802721088435374,0.7936507936507936,0.9090909090909091,0.0,0.0,0.33370411568409347
gpt-5.2-2025-12-11-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
