category,model,language,english_prompt,accuracy,bad_format,Latency Mean,Latency Median,provider
Science,claude-sonnet-4-5-20250929,English,False,86.88524590163934,0.0,3.9152087164111435,2.903898499906063,Anthropic
Science,fw-deepseek-r1-0528,English,False,91.2568306010929,0.0,20.634460813110145,16.153052400099114,DeepSeek-AI
Science,gemini-2.5-flash-lite-preview-09-2025,English,False,75.40983606557377,0.0,0.6823817786857322,0.5825972999446094,Google
Science,gemini-3-flash-preview,English,False,92.34972677595628,0.546448087431694,26.400404165027048,3.9302016000146978,Google
Science,gemini-3-pro-preview,English,False,94.53551912568307,0.546448087431694,15.13481689399093,9.11742869997397,Google
Science,gemma-3-27b,English,False,72.6775956284153,0.0,1.6008455300680744,1.2121506000403317,Google
Science,gemma-3-4b-it,English,False,53.00546448087432,0.0,0.6406906606588777,0.5789035998750478,Google
Science,gpt-5.2-2025-12-11-medium,English,False,89.07103825136612,0.0,2.7073151043758097,2.522284700011369,OpenAI
Science,o4-mini-2025-04-16,English,False,84.15300546448088,0.0,5.097718268297002,4.582986299879849,OpenAI
Science,qwen-3-32b,English,False,85.79234972677595,1.092896174863388,12.474214739348138,8.394184099975973,Alibaba
Science,claude-sonnet-4-5-20250929,Hausa,True,52.459016393442624,1.639344262295082,7.090951235522135,3.690191000001505,Anthropic
Science,fw-deepseek-r1-0528,Hausa,True,55.19125683060109,0.0,7.660477669386681,6.108779199887067,DeepSeek-AI
Science,gemini-2.5-flash-lite-preview-09-2025,Hausa,True,57.377049180327866,0.0,0.7058632245892913,0.5906197000294924,Google
Science,gemini-3-flash-preview,Hausa,True,86.33879781420765,0.546448087431694,18.127770264480727,4.27399399999922,Google
Science,gemini-3-pro-preview,Hausa,True,91.2568306010929,0.0,15.524026460656158,9.757808199967258,Google
Science,gemma-3-27b,Hausa,True,42.07650273224044,0.0,1.2104498104019283,1.022962999995798,Google
Science,gemma-3-4b-it,Hausa,True,26.229508196721312,0.0,0.6202103398864977,0.5543225998990238,Google
Science,gpt-5.2-2025-12-11-medium,Hausa,True,79.23497267759562,0.0,3.6277165098346087,3.20697649999056,OpenAI
Science,o4-mini-2025-04-16,Hausa,True,67.75956284153006,0.546448087431694,6.997100937705681,6.4490408999845386,OpenAI
Science,qwen-3-32b,Hausa,True,31.147540983606557,1.092896174863388,10.9921055393436,8.098318499978632,Alibaba
Science,claude-sonnet-4-5-20250929,Hausa,False,49.18032786885246,18.579234972677597,6.520393810939817,3.22593230009079,Anthropic
Science,fw-deepseek-r1-0528,Hausa,False,46.44808743169399,2.185792349726776,31.460531273760065,17.730415199883282,DeepSeek-AI
Science,gemini-2.5-flash-lite-preview-09-2025,Hausa,False,53.00546448087432,0.0,0.7143533672180657,0.602305700071156,Google
Science,gemini-3-flash-preview,Hausa,False,87.97814207650273,0.0,5.391237977049421,3.708356700000877,Google
Science,gemini-3-pro-preview,Hausa,False,90.7103825136612,0.0,16.02305796666666,11.431884800000262,Google
Science,gemma-3-27b,Hausa,False,40.98360655737705,0.0,1.8510621071022126,1.163260200060904,Google
Science,gemma-3-4b-it,Hausa,False,18.579234972677597,2.185792349726776,0.8361990415285051,0.7482697998639196,Google
Science,gpt-5.2-2025-12-11-medium,Hausa,False,78.68852459016394,0.0,3.5755104076502167,3.1673169000005146,OpenAI
Science,o4-mini-2025-04-16,Hausa,False,64.48087431693989,0.546448087431694,8.740045689613828,7.833800900029018,OpenAI
Science,qwen-3-32b,Hausa,False,0.0,100.0,40.726785914198864,26.515141800045967,Alibaba
Science,claude-sonnet-4-5-20250929,Luganda,True,37.15846994535519,0.0,2.75367653169771,2.5985979000106454,Anthropic
Science,fw-deepseek-r1-0528,Luganda,True,37.15846994535519,0.0,5.357726988526407,5.029021699912846,DeepSeek-AI
Science,gemini-2.5-flash-lite-preview-09-2025,Luganda,True,37.15846994535519,0.0,0.9015955049086546,0.8199924000073224,Google
Science,gemini-3-flash-preview,Luganda,True,75.95628415300546,0.0,30.93473555355414,5.794627499999479,Google
Science,gemini-3-pro-preview,Luganda,True,81.9672131147541,0.0,24.507626642619993,12.580570699996317,Google
Science,gemma-3-27b,Luganda,True,29.508196721311474,2.73224043715847,1.8281179098348779,1.4674684000201523,Google
Science,gemma-3-4b-it,Luganda,True,21.85792349726776,0.0,1.235675849176974,0.8884326999541372,Google
Science,gpt-5.2-2025-12-11-medium,Luganda,True,69.94535519125684,0.0,6.155439525681403,4.904824399971403,OpenAI
Science,o4-mini-2025-04-16,Luganda,True,39.89071038251366,0.0,11.221205035512096,9.290544799994676,OpenAI
Science,qwen-3-32b,Luganda,True,24.043715846994534,0.546448087431694,14.865435027869806,12.052459599915892,Alibaba
Science,claude-sonnet-4-5-20250929,Luganda,False,1.639344262295082,97.26775956284153,12.317730993406487,12.190216849994613,Anthropic
Science,fw-deepseek-r1-0528,Luganda,False,4.918032786885246,88.52459016393442,39.746863913660945,33.65507229999639,DeepSeek-AI
Science,gemini-2.5-flash-lite-preview-09-2025,Luganda,False,24.043715846994534,0.0,0.9011201956261667,0.6973352000059094,Google
Science,gemini-3-flash-preview,Luganda,False,72.6775956284153,0.0,6.356717006557253,4.352739300000394,Google
Science,gemini-3-pro-preview,Luganda,False,78.14207650273224,0.0,18.343730721311488,13.796857499999533,Google
Science,gemma-3-27b,Luganda,False,15.846994535519126,36.6120218579235,19.764708932242968,3.6675348000135273,Google
Science,gemma-3-4b-it,Luganda,False,0.0,100.0,17.168437125135846,12.047281499981182,Google
Science,gpt-5.2-2025-12-11-medium,Luganda,False,64.48087431693989,0.0,4.928107207103881,4.275722400000632,OpenAI
Science,o4-mini-2025-04-16,Luganda,False,29.508196721311474,32.78688524590164,15.420969004371766,11.83983320000698,OpenAI
Science,qwen-3-32b,Luganda,False,0.0,99.4535519125683,65.02858109726769,36.2311152999755,Alibaba
Science,claude-sonnet-4-5-20250929,Nyankore,True,33.87978142076503,0.546448087431694,3.6686467274725705,3.24570469999162,Anthropic
Science,fw-deepseek-r1-0528,Nyankore,True,36.6120218579235,0.0,8.801452408196269,7.818716499998118,DeepSeek-AI
Science,gemini-2.5-flash-lite-preview-09-2025,Nyankore,True,28.415300546448087,0.0,0.7502880508195904,0.714635799988173,Google
Science,gemini-3-flash-preview,Nyankore,True,66.12021857923497,0.0,50.25474095245899,7.916438000000198,Google
Science,gemini-3-pro-preview,Nyankore,True,73.224043715847,0.0,22.463993596172603,14.563710600021295,Google
Science,gemma-3-27b,Nyankore,True,29.508196721311474,0.0,1.2974975420768968,1.1238642999960575,Google
Science,gemma-3-4b-it,Nyankore,True,27.322404371584703,0.0,0.6483149229510067,0.5594484000030207,Google
Science,gpt-5.2-2025-12-11-medium,Nyankore,True,50.81967213114754,0.0,5.628591840436918,4.804212199989706,OpenAI
Science,o4-mini-2025-04-16,Nyankore,True,28.96174863387978,0.0,12.953740685246407,10.890676299997722,OpenAI
Science,qwen-3-32b,Nyankore,True,23.497267759562842,1.092896174863388,16.08749773005452,12.688637500003097,Alibaba
Science,claude-sonnet-4-5-20250929,Nyankore,False,0.0,99.4535519125683,11.778321575823961,10.838030549995892,Anthropic
Science,fw-deepseek-r1-0528,Nyankore,False,15.846994535519126,54.09836065573771,19.717192798906833,18.4970054999867,DeepSeek-AI
